2013-05-24 06:37:44 UTC	1.8.7	74.2875 requests per second	ruby 1.8.7 (2012-10-12 patchlevel 371) [i686-darwin10.8.0]
2013-05-24 06:56:10 UTC	1.8.7-head	75.64 requests per second	ruby 1.8.7 (2013-05-18 patchlevel 372) [i686-darwin10.8.0]
2013-05-24 07:09:36 UTC	1.9.2	105.16 requests per second	ruby 1.9.2p320 (2012-04-20 revision 35421) [x86_64-darwin10.8.0]
2013-05-24 07:30:23 UTC	1.9.2-head	104.2775 requests per second	ruby 1.9.2p325 (2013-04-15) [x86_64-darwin10.8.0]
2013-05-24 07:44:12 UTC	1.9.3	99.815 requests per second	ruby 1.9.3p429 (2013-05-15 revision 40747) [x86_64-darwin10.8.0]
2013-05-24 08:04:32 UTC	1.9.3-head	107.71 requests per second	ruby 1.9.3p430 (2013-05-15) [x86_64-darwin10.8.0]
2013-05-24 08:17:37 UTC	2.0.0	116.44999999999999 requests per second	ruby 2.0.0p195 (2013-05-14 revision 40734) [x86_64-darwin10.8.0]
2013-05-24 08:39:22 UTC	2.0.0-head	117.5975 requests per second	ruby 2.0.0p197 (2013-05-20) [x86_64-darwin10.8.0]
2013-05-24 08:41:59 UTC	ruby-head	failed to install ruby-head	failed to install ruby-head
2013-05-24 09:07:04 UTC	jruby	77.895 requests per second	jruby 1.7.4 (1.9.3p392) 2013-05-16 2390d3b on Java HotSpot(TM) 64-Bit Server VM 1.6.0_45-b06-451-10M4406 [darwin-x86_64]
2013-05-24 10:03:14 UTC	jruby-head	78.01 requests per second	jruby 1.7.5.dev (1.9.3p392) 2013-05-24 fffffff on Java HotSpot(TM) 64-Bit Server VM 1.6.0_45-b06-451-10M4406 [darwin-x86_64]
2013-05-24 10:56:31 UTC	rbx-head	107.245 requests per second	rubinius 2.0.0.rc1 (1.8.7 a6207672 yyyy-mm-dd JI) [x86_64-apple-darwin10.8.0]
2013-05-26 06:36:07 UTC	1.8.7	74.24 requests per second	ruby 1.8.7 (2012-10-12 patchlevel 371) [i686-darwin10.8.0]
2013-05-26 06:54:39 UTC	1.8.7-head	75.2675 requests per second	ruby 1.8.7 (2013-05-18 patchlevel 372) [i686-darwin10.8.0]
2013-05-26 07:08:05 UTC	1.9.2	104.745 requests per second	ruby 1.9.2p320 (2012-04-20 revision 35421) [x86_64-darwin10.8.0]
2013-05-26 07:29:02 UTC	1.9.2-head	104.5475 requests per second	ruby 1.9.2p325 (2013-04-15) [x86_64-darwin10.8.0]
2013-05-26 07:43:03 UTC	1.9.3	99.4325 requests per second	ruby 1.9.3p429 (2013-05-15 revision 40747) [x86_64-darwin10.8.0]
2013-05-26 08:03:44 UTC	1.9.3-head	108.395 requests per second	ruby 1.9.3p430 (2013-05-15) [x86_64-darwin10.8.0]
2013-05-26 08:16:49 UTC	2.0.0	116.00999999999999 requests per second	ruby 2.0.0p195 (2013-05-14 revision 40734) [x86_64-darwin10.8.0]
2013-05-26 08:39:05 UTC	2.0.0-head	116.54749999999999 requests per second	ruby 2.0.0p197 (2013-05-20) [x86_64-darwin10.8.0]
2013-05-26 08:41:22 UTC	ruby-head	failed to install ruby-head	failed to install ruby-head
2013-05-26 09:07:49 UTC	jruby	77.48 requests per second	jruby 1.7.4 (1.9.3p392) 2013-05-16 2390d3b on Java HotSpot(TM) 64-Bit Server VM 1.6.0_45-b06-451-10M4406 [darwin-x86_64]
2013-05-26 10:05:23 UTC	jruby-head	78.275 requests per second	jruby 1.7.5.dev (1.9.3p392) 2013-05-26 fffffff on Java HotSpot(TM) 64-Bit Server VM 1.6.0_45-b06-451-10M4406 [darwin-x86_64]
2013-05-26 10:59:32 UTC	rbx-head	107.1525 requests per second	rubinius 2.0.0.rc1 (1.8.7 2feba864 yyyy-mm-dd JI) [x86_64-apple-darwin10.8.0]
2013-05-27 05:23:35 UTC	1.8.7	73.3725 requests per second	ruby 1.8.7 (2012-10-12 patchlevel 371) [i686-darwin10.8.0]
2013-05-27 05:42:07 UTC	1.8.7-head	74.65 requests per second	ruby 1.8.7 (2013-05-18 patchlevel 372) [i686-darwin10.8.0]
2013-05-27 05:55:37 UTC	1.9.2	104.23749999999998 requests per second	ruby 1.9.2p320 (2012-04-20 revision 35421) [x86_64-darwin10.8.0]
2013-05-27 06:16:47 UTC	1.9.2-head	103.6525 requests per second	ruby 1.9.2p325 (2013-04-15) [x86_64-darwin10.8.0]
2013-05-27 06:30:42 UTC	1.9.3	98.55 requests per second	ruby 1.9.3p429 (2013-05-15 revision 40747) [x86_64-darwin10.8.0]
2013-05-27 06:51:36 UTC	1.9.3-head	106.34 requests per second	ruby 1.9.3p430 (2013-05-15) [x86_64-darwin10.8.0]
2013-05-27 07:04:57 UTC	2.0.0	115.0125 requests per second	ruby 2.0.0p195 (2013-05-14 revision 40734) [x86_64-darwin10.8.0]
2013-05-27 07:27:32 UTC	2.0.0-head	115.30250000000001 requests per second	ruby 2.0.0p197 (2013-05-20) [x86_64-darwin10.8.0]
2013-05-27 07:29:42 UTC	ruby-head	failed to install ruby-head	failed to install ruby-head
2013-05-27 07:57:06 UTC	jruby	76.72749999999999 requests per second	jruby 1.7.4 (1.9.3p392) 2013-05-16 2390d3b on Java HotSpot(TM) 64-Bit Server VM 1.6.0_45-b06-451-10M4406 [darwin-x86_64]
2013-05-27 08:58:13 UTC	jruby-head	77.99999999999999 requests per second	jruby 1.7.5.dev (1.9.3p392) 2013-05-27 fffffff on Java HotSpot(TM) 64-Bit Server VM 1.6.0_45-b06-451-10M4406 [darwin-x86_64]
2013-05-27 09:54:36 UTC	rbx-head	104.71500000000002 requests per second	rubinius 2.0.0.rc1 (1.8.7 1e2c7851 yyyy-mm-dd JI) [x86_64-apple-darwin10.8.0]
